12.8088 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x115c2b8d0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.3233 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.3254 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
13.3260 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
13.3513 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
13.3763 	EXP 	instr1: autoDraw = True
13.6833 	DATA 	Keypress: space
13.6897 	EXP 	Imported conditions1.xlsx as conditions, 4 conditions, 6 params
13.6900 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
13.6904 	EXP 	New trial (rep=0, index=0): {u'typeL': u'word', u'right': u'ship', u'TrialN': 1L, u'corrAns': 3L, u'TypeR': u'word', u'left': u'tour'}
13.7100 	EXP 	instr1: autoDraw = False
13.7100 	EXP 	itemL: text = u'tour'
13.7100 	EXP 	itemR: text = u'ship'
13.7100 	EXP 	blank: autoDraw = True
14.2082 	EXP 	fixation: autoDraw = True
14.2082 	EXP 	blank: autoDraw = False
14.7082 	EXP 	itemR: autoDraw = True
14.7082 	EXP 	itemL: autoDraw = True
14.9573 	EXP 	fixation: autoDraw = False
14.9573 	EXP 	itemR: autoDraw = False
14.9573 	EXP 	itemL: autoDraw = False
17.7602 	DATA 	Keypress: 2
21.1430 	DATA 	Keypress: 1
23.4433 	DATA 	Keypress: 1
28.8433 	DATA 	Keypress: 2
29.1099 	DATA 	Keypress: 1
29.6103 	DATA 	Keypress: 3
31.2931 	DATA 	Keypress: return
32.1597 	DATA 	Keypress: escape
