typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,space,0,0.00351715087891,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,space,0,0.00252795219421,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,space,0,0.0034499168396,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,space,0,0.00311303138733,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,1,0,6.18159890175,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,2,1,2.31922793388,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,3,0,1.16815209389,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,3,0,1.80082297325,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,2,1,4.03634810448,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,2,0,0.570513010025,NA,NA,2017_Sep_26_1538,59.9318992063,LDT2,01,,
