typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,1,0,6.20273399353,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,1,1,2.53558206558,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,2,1,2.41883087158,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,3,0,2.15098977089,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,1,0,3.56695699692,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,2,1,2.35245680809,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,3,0,1.96925592422,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,3,0,2.00160884857,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,3,0,1.40403604507,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,2,0,1.60286283493,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,2,,hell,4.89,3024,15495,NA,NA,NA,0.846576116443,one word_L,,,,,0,6,6,6,2,1,1.91909790039,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,gang,,2,,****,NA,NA,NA,4659,4910,4.39,0.0655512596332,one word_R,,,,,0,7,7,7,3,0,1.32070398331,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.292727649762,zero words,,,,,0,8,8,8,1,1,1.68763899803,	,	,2017_Aug_15_1211,59.9279602109,LDT2,01,,
